# submitted_item	validated_id	current_symbol
Q7JXA8	FBgn0004400	rhi
Q9VIZ0	FBgn0086447	l(2)37Cg
Q9VTZ0	FBgn0041775	tral
Q9V434	FBgn0086443	AsnRS
Q9VTZ6	FBgn0036300	Pmm2
Q9VIZ3	FBgn0086444	l(2)37Cb
P24156	FBgn0002031	l(2)37Cc
Q9VKB3	FBgn0028707	Mt2
Q03720	FBgn0003429	slo
Q9VCD5	FBgn0039147	CG10694
M9PGT5	FBgn0029878	Pat1
P05031	FBgn0000422	Ddc
M9PF00	FBgn0036278	CrzR
Q9VJ00	FBgn0002023	Lim3
A8JQU6	FBgn0261238	Alh
Q9VJ03	FBgn0032754	CG10700
P46150	FBgn0011661	Moe
Q9VJ04	FBgn0032752	CG10702
Q9VGR1	FBgn0037881	GCC88
M9PFA4	FBgn0036285	toe
Q7KVW5	FBgn0029761	SK
O77051	FBgn0024371	E2f2
Q9VU89	FBgn0036377	CG10710
Q9VU87	FBgn0086785	Vps36
Q86BS3	FBgn0044324	Chro
Q9VU71	FBgn0036360	CG10713
Q6NL75	FBgn0001256	ImpL1
Q9VIP4	FBgn0004374	neb
Q8MQJ9	FBgn0010300	brat
Q8IRC7	FBgn0013751	Awh
Q9VIP2	FBgn0032846	Pyroxd1
Q9VIP0	FBgn0032848	nesd
Q9V3B5	FBgn0032850	Kua
Q9VU68	FBgn0260049	flr
Q8IQJ4	FBgn0036362	CG10725
Q9VIP9	FBgn0014127	barr
Q9VIP8	FBgn0003978	vls
Q9VIP6	FBgn0032843	CG10730
A1ZAA9	FBgn0034081	CG10731
M9PFI2	FBgn0036365	cmb
Q9VRU2	FBgn0061492	loj
Q29QS8	FBgn0034082	CG10734
Q7YTZ4	FBgn0034420	CG10737
C7LAF5	FBgn0036368	CG10738
Q24118	FBgn0010309	pigeon
Q960G1	FBgn0037250	CG1074
Q8IQJ9	FBgn0036373	Tgi
Q9W4X6	FBgn0040334	Tsp3A
Q9VU88	FBgn0036376	Liprin-beta
Q9VIP3	FBgn0032845	CG10747
Q9VU28	FBgn0036327	CG10748
Q9VU29	FBgn0036328	CG10749
X2J6Y3	FBgn0032769	CG10750
Q7KMS3	FBgn0024196	robl
Q9VU26	FBgn0036325	CG10752
Q9VU02	FBgn0261933	SmD1
Q9VU15	FBgn0036314	Sf3a2
O46054	FBgn0015036	Cyp4ae1
Q9VIP1	FBgn0032847	Taf13
Q9VIN9	FBgn0032849	mRpS18B
Q9W3I5	FBgn0030016	Or7a
Q9VNL3	FBgn0037402	Vha14-2
Q9W3I6	FBgn0030015	CG10761
Q9W3J1	FBgn0030011	Gbeta5
A1ZAT2	FBgn0034221	CG10764
Q9VNL6	FBgn0037405	CG1077
P26016	FBgn0004509	Fur1
M9PE88	FBgn0024179	wit
Q9W3M7	FBgn0029979	mahe
Q9W3M6	FBgn0029980	CG10778
Q9VN31	FBgn0037255	Fip1
P23938	FBgn0002933	ng1
P40140	FBgn0010295	ng3
P40141	FBgn0010296	ng4
Q9VZL8	FBgn0026592	Fie
P26023	FBgn0003086	Pig1
Q9V3N5	FBgn0029656	CG10793
A1ZBF6	FBgn0034407	DptB
Q9W2H1	FBgn0034626	CG10795
Q9W4S7	FBgn0262656	Myc
A1Z9B5	FBgn0033821	CG10799
Q9VM76	FBgn0017551	Rca1
M9PIY5	FBgn0029660	CG10801
M9PGD7	FBgn0029664	CG10802
M9PGK9	FBgn0029666	CG10803
B7Z122	FBgn0029663	CG10804
Q9VM75	FBgn0086451	l(2)k09022
Q7KTL6	FBgn0031865	Nha1
Q7JYV2	FBgn0033876	Syngr
Q9VT59	FBgn0036052	CG10809
Q9VND8	FBgn0041191	Rheb
P41964	FBgn0283461	Drs
A8DZ29	FBgn0023213	eIF4G1
Q9VZR2	FBgn0035434	Drsl5
Q7K4A8	FBgn0033830	CG10814
P36193	FBgn0010388	Dro
Q9VIC0	FBgn0015572	alpha-Est4
Q4QPW2	FBgn0034478	CG10822
Q8IN35	FBgn0038880	SIFaR
Q9VDD5	FBgn0038865	cDIP
Q8SZZ8	FBgn0038860	Ice2
Q9VDG4	FBgn0038845	Alp5
Q9VDH3	FBgn0038839	Ktl
Q9VMT5	FBgn0031689	Cyp28d1
Q9V9P1	FBgn0032972	CG10834
Q7PLL3	FBgn0020660	eIF4B
Q9VQA6	FBgn0028570	robl22E
Q9V3Q0	FBgn0028858	CG10839
Q9VN14	FBgn0037240	Cont
Q9VZP5	FBgn0026259	eIF5B
A0A0B4K6G7	FBgn0038163	CG10841
Q9V558	FBgn0015037	Cyp4p1
Q9V559	FBgn0033397	Cyp4p3
Q24498	FBgn0011286	RyR
Q9VC13	FBgn0039246	CG10845
Q9VJQ6	FBgn0040228	DCTN5-p25
Q8MSX1	FBgn0004875	enc
Q9VZL3	FBgn0035471	Sc2
Q9VZL2	FBgn0041147	ida
P26686	FBgn0004587	B52
O46200	FBgn0015585	Acp63F
Q9VZK6	FBgn0035478	CG10853
Q8SX86	FBgn0035461	ntc
Q9VZN1	FBgn0035458	ppk27
Q9VJY4	FBgn0032520	CG10859
Q9VTU1	FBgn0036255	Atg12
Q9I7T6	FBgn0035455	CG10862
Q9Y112	FBgn0027552	CG10863
Q9VE68	FBgn0038621	CG10864
Q9VZK9	FBgn0035475	CG10866
Q8IHC3	FBgn0004882	orb
Q9VQ22	FBgn0031347	nis
E4NKL4	FBgn0031395	CG10874
Q9VDL4	FBgn0038804	CG10877
P54611	FBgn0283535	Vha26
M9PB07	FBgn0031398	daed
Q9VDM6	FBgn0038796	eIF3g2
Q9VQ94	FBgn0262126	Sec24CD
Q9VDP7	FBgn0038773	CG10887
P04950	FBgn0003249	Rh3
Q8T0D9	FBgn0038769	Regnase-1
A0A0B4K6V8	FBgn0261393	alpha-Est5
Q4U2Q5	FBgn0002887	mus201
O61267	FBgn0019686	lok
A8DYA3	FBgn0033636	tou
Q9VGM4	FBgn0037911	CG10898
C8VV79	FBgn0039235	CAH4
Q9VN12	FBgn0037238	CG1090
P25158	FBgn0003015	osk
Q9VHW6	FBgn0037543	CG10903
Q9W1E7	FBgn0034945	CG10904
Q9VTN7	FBgn0036207	CG10907
Q9VQ57	FBgn0267972	Der-1
Q9VG21	FBgn0038090	CG10909
Q9VI58	FBgn0037470	Tailor
A1ZB18	FBgn0034289	CG10910
Q7JW48	FBgn0034295	CG10911
Q7K1H9	FBgn0034296	CG10912
Q7JV69	FBgn0028983	Spn55B
Q8SZ15	FBgn0034307	CG10914
Q8SX68	FBgn0034308	Naus
Q7K1R6	FBgn0034312	CG10916
P54360	FBgn0000658	fj
Q9VRI3	FBgn0031178	CG10918
Q9VI03	FBgn0037514	CG10919
Q9VMZ9	FBgn0037228	CG1092
Q9W3P6	FBgn0029963	CG10920
P40796	FBgn0011638	La
M9PF35	FBgn0004379	Klp67A
A8DYI3	FBgn0034356	Pepck2
Q7K157	FBgn0034360	CG10927
P11612	FBgn0003140	PpY-55A
Q1RKU8	FBgn0034274	CG10931
Q9W3N9	FBgn0029969	CG10932
A1ZAY1	FBgn0034264	Dlish
Q7K1B3	FBgn0034263	CG10934
Q7JWM6	FBgn0034253	CG10936
Q95083	FBgn0016697	Prosalpha5
Q7K5M6	FBgn0010620	CG10939
Q9VU21	FBgn0036320	CG10943
P29327	FBgn0261592	RpS6
Q9W3N2	FBgn0029974	dpr14
A4V0X6	FBgn0032857	CG10947
Q8IQH5	FBgn0036317	CG10948
Q9VIM6	FBgn0032858	CG10949
A1ZAR6	FBgn0034205	CG10950
Q9VC32	FBgn0045980	niki
